date,spot,ticker,strike,expiry,dte,years_to_expiry,moneyness,target_moneyness,target_dte,option_type,close,volume
2026-01-15,688.5806884765625,O:SPY270115C00690000,690.0,2027-01-15,365,0.999315537303217,1.0020612130824895,1.0,365,call,59.6,84
2026-01-15,688.5806884765625,O:SPY270115P00690000,690.0,2027-01-15,365,0.999315537303217,1.0020612130824895,1.0,365,put,39.46,881
2026-01-15,688.5806884765625,O:SPY260213P00620000,620.0,2026-02-13,29,0.0793976728268309,0.9004028291465848,0.9,30,put,0.93,115
2026-01-15,688.5806884765625,O:SPY260213C00689000,689.0,2026-02-13,29,0.0793976728268309,1.0006089504548337,1.0,30,call,13.12,257
2026-01-15,688.5806884765625,O:SPY260213P00689000,689.0,2026-02-13,29,0.0793976728268309,1.0006089504548337,1.0,30,put,7.96,131
2026-01-15,688.5806884765625,O:SPY270115C00755000,755.0,2027-01-15,365,0.999315537303217,1.0964582838801151,1.1,365,call,24.42,133
2026-01-15,688.5806884765625,O:SPY260213P00655000,655.0,2026-02-13,29,0.0793976728268309,0.9512320211145372,0.95,30,put,2.4,6183
2026-01-15,688.5806884765625,O:SPY260213C00725000,725.0,2026-02-13,29,0.0793976728268309,1.0528904050504415,1.05,30,call,0.5,201
2026-01-15,688.5806884765625,O:SPY260417P00620000,620.0,2026-04-17,92,0.2518822724161533,0.9004028291465848,0.9,90,put,5.2,433
2026-01-15,688.5806884765625,O:SPY260417C00620000,620.0,2026-04-17,92,0.2518822724161533,0.9004028291465848,0.9,90,call,83.35,50
2026-01-15,688.5806884765625,O:SPY260417P00585000,585.0,2026-04-17,92,0.2518822724161533,0.8495736371786324,0.85,90,put,3.16,48
2026-01-15,688.5806884765625,O:SPY260417P00655000,655.0,2026-04-17,92,0.2518822724161533,0.9512320211145372,0.95,90,put,9.31,74
2026-01-15,688.5806884765625,O:SPY260417P00690000,690.0,2026-04-17,92,0.2518822724161533,1.0020612130824895,1.0,90,put,17.07,794
2026-01-15,688.5806884765625,O:SPY260417C00690000,690.0,2026-04-17,92,0.2518822724161533,1.0020612130824895,1.0,90,call,24.07,316
2026-01-15,688.5806884765625,O:SPY260417C00725000,725.0,2026-04-17,92,0.2518822724161533,1.0528904050504415,1.05,90,call,6.45,96
2026-01-15,688.5806884765625,O:SPY260417C00755000,755.0,2026-04-17,92,0.2518822724161533,1.0964582838801151,1.1,90,call,1.3,292
2026-01-15,688.5806884765625,O:SPY260320P00620000,620.0,2026-03-20,64,0.1752224503764544,0.9004028291465848,0.9,60,put,3.22,887
2026-01-15,688.5806884765625,O:SPY260320C00620000,620.0,2026-03-20,64,0.1752224503764544,0.9004028291465848,0.9,60,call,79.55,35
2026-01-15,688.5806884765625,O:SPY260320P00585000,585.0,2026-03-20,64,0.1752224503764544,0.8495736371786324,0.85,60,put,1.83,646
2026-01-15,688.5806884765625,O:SPY260320P00655000,655.0,2026-03-20,64,0.1752224503764544,0.9512320211145372,0.95,60,put,6.41,765
2026-01-15,688.5806884765625,O:SPY260320C00690000,690.0,2026-03-20,64,0.1752224503764544,1.0020612130824895,1.0,60,call,20.02,1102
2026-01-15,688.5806884765625,O:SPY260320P00690000,690.0,2026-03-20,64,0.1752224503764544,1.0020612130824895,1.0,60,put,13.69,2214
2026-01-15,688.5806884765625,O:SPY260320P00725000,725.0,2026-03-20,64,0.1752224503764544,1.0528904050504415,1.05,60,put,33.75,200
2026-01-15,688.5806884765625,O:SPY260320C00725000,725.0,2026-03-20,64,0.1752224503764544,1.0528904050504415,1.05,60,call,3.58,524
2026-01-15,688.5806884765625,O:SPY260930C00725000,725.0,2026-09-30,258,0.7063655030800822,1.0528904050504415,1.05,270,call,27.5,198
